row_id,primary_class,owned_classes,top_next_classes
24,rogue,['rogue'],"['fighter', 'barbarian', 'ranger', 'monk', 'wizard']"
25,ranger,['ranger'],"['fighter', 'rogue', 'monk', 'wizard', 'barbarian']"
26,wizard,['wizard'],"['fighter', 'rogue', 'barbarian', 'monk', 'cleric']"
27,warlock,['warlock'],"['fighter', 'monk', 'rogue', 'wizard', 'barbarian']"
28,sorcerer,['sorcerer'],"['fighter', 'cleric', 'rogue', 'wizard', 'barbarian']"
29,cleric,['cleric'],"['fighter', 'sorcerer', 'monk', 'rogue', 'barbarian']"
30,druid,['druid'],"['fighter', 'barbarian', 'monk', 'rogue', 'wizard']"
31,fighter,['fighter'],"['wizard', 'monk', 'barbarian', 'rogue', 'cleric']"
32,cleric,['cleric'],"['fighter', 'sorcerer', 'monk', 'wizard', 'rogue']"
33,wizard,['wizard'],"['fighter', 'rogue', 'monk', 'barbarian', 'cleric']"
34,rogue,['rogue'],"['fighter', 'barbarian', 'ranger', 'monk', 'wizard']"
35,paladin,['paladin'],"['fighter', 'barbarian', 'rogue', 'monk', 'wizard']"
36,monk,['monk'],"['fighter', 'ranger', 'warlock', 'wizard', 'rogue']"
37,artificer,['artificer'],"['fighter', 'monk', 'wizard', 'rogue', 'cleric']"
38,bard,['bard'],"['fighter', 'rogue', 'wizard', 'monk', 'cleric']"
39,,[],"['fighter', 'rogue', 'wizard', 'monk', 'barbarian']"
40,,[],"['fighter', 'monk', 'rogue', 'wizard', 'barbarian']"
41,wizard,['wizard'],"['fighter', 'monk', 'rogue', 'barbarian', 'cleric']"
42,fighter,['fighter'],"['monk', 'wizard', 'barbarian', 'rogue', 'cleric']"
43,cleric,['cleric'],"['fighter', 'sorcerer', 'rogue', 'monk', 'wizard']"
44,wizard,['wizard'],"['fighter', 'monk', 'rogue', 'barbarian', 'cleric']"
45,fighter,"['fighter', 'wizard']","['monk', 'barbarian', 'rogue', 'cleric', 'ranger']"
46,rogue,['rogue'],"['fighter', 'barbarian', 'ranger', 'wizard', 'monk']"
47,fighter,"['barbarian', 'fighter']","['wizard', 'rogue', 'monk', 'paladin', 'druid']"
48,artificer,['artificer'],"['fighter', 'wizard', 'rogue', 'monk', 'barbarian']"
49,druid,['druid'],"['fighter', 'barbarian', 'rogue', 'monk', 'wizard']"
50,ranger,['ranger'],"['fighter', 'monk', 'rogue', 'wizard', 'barbarian']"
51,monk,['monk'],"['fighter', 'ranger', 'warlock', 'rogue', 'wizard']"
52,bard,['bard'],"['fighter', 'wizard', 'rogue', 'monk', 'barbarian']"
53,fighter,['fighter'],"['wizard', 'monk', 'barbarian', 'rogue', 'cleric']"
54,warlock,['warlock'],"['fighter', 'monk', 'rogue', 'wizard', 'barbarian']"
55,druid,['druid'],"['fighter', 'barbarian', 'rogue', 'wizard', 'monk']"
56,wizard,['wizard'],"['fighter', 'rogue', 'monk', 'barbarian', 'cleric']"
57,barbarian,"['barbarian', 'rogue']","['fighter', 'paladin', 'ranger', 'druid', 'monk']"
58,ranger,['ranger'],"['fighter', 'rogue', 'monk', 'wizard', 'barbarian']"
59,monk,['monk'],"['fighter', 'ranger', 'warlock', 'rogue', 'wizard']"
60,paladin,['paladin'],"['fighter', 'barbarian', 'rogue', 'monk', 'wizard']"
61,bard,['bard'],"['fighter', 'monk', 'rogue', 'wizard', 'barbarian']"
62,,[],"['fighter', 'wizard', 'monk', 'rogue', 'cleric']"
63,rogue,['rogue'],"['fighter', 'barbarian', 'ranger', 'monk', 'wizard']"
64,wizard,['wizard'],"['fighter', 'rogue', 'monk', 'barbarian', 'cleric']"
65,ranger,"['ranger', 'rogue']","['fighter', 'monk', 'barbarian', 'wizard', 'cleric']"
66,cleric,"['cleric', 'sorcerer']","['fighter', 'wizard', 'rogue', 'monk', 'barbarian']"
67,monk,['monk'],"['fighter', 'ranger', 'warlock', 'rogue', 'wizard']"
68,fighter,['fighter'],"['wizard', 'monk', 'barbarian', 'rogue', 'cleric']"
69,warlock,['warlock'],"['fighter', 'monk', 'rogue', 'wizard', 'barbarian']"
70,sorcerer,['sorcerer'],"['fighter', 'cleric', 'monk', 'wizard', 'rogue']"
